address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_x_rooms,elevator_high_floor,area_level_num,area_bin_num
فرمانیه,50000000000,3,175,1403,3,1,1,1,172,285714285.7,1,525,0,3,4
پونک,16000000000,5,110,1403,2,1,1,1,217,145454545.5,1,220,1,2,3
پلیس,11000000000,4,110,1393,3,1,1,1,216,100000000.0,11,330,1,2,3
سازمان آب,9520000000,6,92,1395,2,1,1,1,108,103478260.9,9,184,1,2,2
شهرک راه‌آهن,29750000000,3,185,1403,3,1,1,1,142,160810810.8,1,555,0,3,4
سازمان آب,15100000000,3,130,1389,3,1,1,1,108,116153846.2,15,390,0,2,3
پونک,7150000000,3,66,1391,2,1,1,1,217,108333333.3,13,132,0,2,2
پونک,7300000000,1,66,1390,2,0,1,1,217,110606060.6,14,132,0,2,2
پونک,7390000000,1,72,1386,2,0,1,1,217,102638888.9,18,144,0,2,2
شریف,13800000000,20,172,1402,3,1,1,1,131,80232558.14,2,516,1,2,4
جیحون,7750000000,7,90,1395,2,1,1,1,61,86111111.11,9,180,1,2,2
جنت‌آباد شمالی,7700000000,4,100,1387,2,0,1,1,56,77000000.0,17,200,0,2,2
نیلوفر,15000000000,1,115,1385,2,1,1,1,202,130434782.6,19,230,0,2,3
سعادت‌آباد,22000000000,2,133,1388,3,1,1,1,114,165413533.8,16,399,0,3,3
خواجه نظام الملک,3550000000,5,43,1388,1,1,1,1,82,82558139.53,16,43,1,2,1
باغ فیض,16500000000,1,115,1403,2,1,1,1,35,143478260.9,1,230,0,2,3
مرزداران,8900000000,3,58,1388,1,1,1,1,185,153448275.9,16,58,0,3,2
دریاچه شهدای خلیج فارس,16000000000,17,160,1402,3,1,1,1,93,100000000.0,2,480,1,2,4
سیدخندان,22270000000,1,131,1403,3,1,1,1,123,170000000.0,1,393,0,3,3
قیطریه,21000000000,4,115,1398,3,1,1,1,177,182608695.7,6,345,1,3,3
نیاوران,32000000000,8,180,1403,3,0,1,1,200,177777777.8,1,540,0,3,4
شهران شمالی,7000000000,2,68,1395,2,1,1,1,137,102941176.5,9,136,0,2,2
الهیه,4850000000,0,40,1380,1,0,1,1,20,121250000.0,24,40,0,2,1
ستارخان,15000000000,4,97,1403,2,1,1,1,111,154639175.3,1,194,1,3,2
پونک,16000000000,3,110,1386,2,1,1,1,217,145454545.5,18,220,0,2,3
سعادت‌آباد,22000000000,2,124,1388,2,1,1,1,114,177419354.8,16,248,0,3,3
حکمت,15000000000,3,100,1380,3,1,1,1,65,150000000.0,24,300,0,3,2
مرزداران,37770000000,5,205,1403,3,1,1,1,185,184243902.4,1,615,1,3,5
سعادت‌آباد,44000000000,5,200,1388,3,1,1,1,114,220000000.0,16,600,1,3,4
شهر‌زیبا,10700000000,3,102,1392,3,1,1,1,154,104901960.8,12,306,0,2,3
پونک,24600000000,5,125,1403,2,1,1,1,217,196800000.0,1,250,1,3,3
لویزان,8100000000,1,80,1380,2,0,1,1,179,101250000.0,24,160,0,2,2
پونک,13500000000,1,105,1400,2,1,1,1,217,128571428.6,4,210,0,2,3
مرزداران,21000000000,1,145,1397,3,1,1,1,185,144827586.2,7,435,0,2,3
